Author,Organization,Score
gracelicd,Others,2.0
hanstseng,Others,2.0
icchau,Others,2.0
jackyjs,Others,2.0
liatgrozovik,Nvidia,2.0
liujed-intel,Intel,2.0
okuzovych,PLVision,2.0
rdarbha,Others,2.0
shawnli-van,Others,2.0
shawnxli,Others,2.0
vkuma82,Others,2.0
xinliu-seattle,Microsoft,1.9
StephenWangGoogle,Google,1.75
pcamaril,Others,1.75
SAI-shared-user,Others,1.7
ouxlwhu,Asterfusion,1.7
jackyjsliu,Others,1.6
jcmathews,Others,1.6
sunesh,Intel,1.6
skg-net,Dell,1.55
Alibaba-Sonic,Alibaba,1.5
MickeyZhan,Others,1.5
Mrak-IW,Others,1.5
VitalySav,Others,1.5
cijurajan,Others,1.5
dmjohn-marvell,Marvell,1.5
doicom,Others,1.5
ezio-chen,Edgecore,1.5
jpxjlrldgit,Broadcom,1.5
lyndonsiao,Others,1.5
muindurk,Others,1.5
phanindra-tv,Broadcom,1.5
phx420,Others,1.5
randygaulmsft,Others,1.5
ryanmusic,Others,1.5
samuel-lee-msft,Microsoft,1.5
sslvjun,Others,1.5
txj36,Others,1.5
zhuiwang,Others,1.5
henry-ma,Nvidia,1.45
prvattem,Dell,1.45
skraza,Cisco,1.25
albgonzpri,Microsoft,1.2
jarias-lfx,The Linux Foundation,1.2
leeprecy,Broadcom,1.2
sgurram,Others,1.2
mhampasagar,Dell,1.15
avi-milner,Marvell,1.05
AndriyZabavskyy,PLVision,1.0
HolyShitMan,TU Ilmenau,1.0
MaxPolovyi,Others,1.0
OPetryshyn,Others,1.0
Sandeepsr,Others,1.0
SolankiTrignesh,Others,1.0
ching-kuo,Mirantis,1.0
denis-maslov,GlobalLogic,1.0
dsatterw,Others,1.0
eiendragon,Others,1.0
ivlee1,Microsoft,1.0
justin-oliver,Broadcom,1.0
manish-volansys,Others,1.0
rick-yhchen1013,WT microelectronics,1.0
tientienle,Others,1.0
trignesh,Others,1.0
zubinshah,Others,1.0
Battier,Others,0.9
arkadiyshapiro,VMware,0.9
bmridul,Cisco,0.9
losha228,Microsoft,0.9
paulnice,Others,0.9
tomek-US,Google,0.9
wangzhClounix,Others,0.9
andrewchoi5,Microsoft,0.8
dipali0125,Others,0.8
msreddypaluru,Others,0.8
BrandonCheng0121,Edgecore,0.75
aruljeniston,Others,0.75
sflow,Others,0.75
DhanaDell,Dell,0.7
lisahnguyen,Broadcom,0.7
radha-danda,Marvell,0.7
imzyxwvu,Others,0.65
BOT-NV,Others,0.6
WillsonHG,The Linux Foundation,0.6
Yarden-Z,Nvidia,0.6
gbmsft,Microsoft,0.6
github-code-scanning,Others,0.6
lazc,Microsoft,0.6
rpjain-nw,Others,0.6
shivuv,Others,0.6
tadengmsft,Microsoft,0.6
vdahiya,Others,0.6
svsivm,Others,0.55
Israel-Meilik,Broadcom,0.5
LaveenBrcm,Broadcom,0.5
MalteJ,SAP,0.5
andriymoroz,Others,0.5
andyivanov,Microsoft,0.5
asha-behera,Broadcom,0.5
jklare,Others,0.5
motinisim,Others,0.5
nupurjai,Intel,0.5
pshulik,Jabil,0.5
samitabh,Broadcom,0.5
wanxms,Microsoft,0.5
FLYFLYFL,Others,0.45
hongrun007,Others,0.45
Nazarii,Others,0.4
StasTODD,Others,0.4
amin-alavi,Broadcom,0.4
ashutshkumr,Keysight,0.4
briantopping,SAP,0.4
dtallen97,Others,0.4
madhukar-kamarapu,Broadcom,0.4
navneeth2666,Others,0.4
santoshdoke,Broadcom,0.4
shishao7sxm,Alibaba,0.4
stayyule,Keysight,0.4
Blyschak,Others,0.3
DragosDanielBoia,Microsoft,0.3
IGordynskyi,Others,0.3
Pirunchy64,Others,0.3
TomFletcher0,Others,0.3
Yuval-Mellanox,Nvidia,0.3
amaragra,Others,0.3
bhagatyj,Google,0.3
elibritstein,Others,0.3
hsincsu,Others,0.3
jorenwu84,Others,0.3
karthikarum,Others,0.3
kishoreatreya,Marvell,0.3
kuomarcel,Others,0.3
nanteby,Others,0.3
ranjinidn,Dell,0.3
ritalhui,Others,0.3
tombo315,Oracle,0.3
wangydalibaba,Alibaba,0.3
wschwartz,Broadcom,0.3
ylu7283,Others,0.3
yurikvol,Others,0.3
BRCM-DevOps,Broadcom,0.25
JohnSalloway,Others,0.25
brcmnokia,Broadcom,0.25
hesingh,Others,0.25
jala-dx,Replicated Inc.,0.25
jonharrisonms,Microsoft,0.25
konne88,Others,0.25
rbone-mitre,Others,0.25
ritahui,Others,0.25
roweisch,Others,0.25
skytreat,Microsoft,0.25
smolkaj,Google,0.25
sudurais,Others,0.25
tarundeepsharma88,Others,0.25
yintao1995,Others,0.25
FaithRobben,Others,0.2
JLevesque84,Others,0.2
Mrvl-BenjaminHuang,Others,0.2
cookiesowns,First Mode,0.2
dproc,Others,0.2
idle-meerkat,Others,0.2
krambn,Others,0.2
praveen5582,Others,0.2
ruferp,Others,0.2
salilpant-brcm,Broadcom,0.2
tjjh89017,Others,0.2
winstonliu1111,Others,0.2
zhaoxiaoke,Others,0.2
Arul-Jeniston-Mc,Dell,0.15
Jipan-Yang,Others,0.15
Prasanth-KV,Broadcom,0.15
Walker917,Others,0.15
fengyingling,Others,0.15
fgggid,Others,0.15
kaoyusean,Alibaba,0.15
mnaberez,Others,0.15
pliviu,Duiadns Co,0.15
ritacxl,Others,0.15
sflow-rt,Others,0.15
springxucoder,Others,0.15
tfangit,Others,0.15
toreanderson,Redpill-Linpro,0.15
yinshuangshuang,Others,0.15
asrivenk,Others,0.1
digesh,Others,0.1
satanninja,Others,0.1
sergeypopovich-ord,Ordnance,0.1
vikasksrivastava,Others,0.1
