Author,Organization,Score
XuChen-MSFT,Microsoft,1010.95
prsunny,Microsoft,979.60
albertovillarreal-keys,Others,958.55
opcoder0,Microsoft,956.70
KroosMicas,Micas,949.55
FengPan-Frank,Microsoft,920.85
vijaya-ops,Broadcom,918.60
richardyu-ms,Microsoft,917.05
judyjoseph,Microsoft,905.45
keboliu,Nvidia,897.50
wsycqyz,Microsoft,888.70
copilot-pull-request-reviewer,Others,876.20
echuawu,Nvidia,874.95
tjchadaga,Microsoft,870.25
developfast,Microsoft,861.40
vdahiya12,Microsoft,860.00
maipbui,Microsoft,837.50
arista-nwolfe,Arista,816.70
congh-nvidia,Nvidia,812.20
bhouse-nexthop,Nexthop,782.50
noaOrMlnx,Nvidia,775.30
Pavan-Nokia,Nokia,758.40
aravindmani-1,Dell Technologies,738.35
mlok-nokia,Nokia,737.10
nikamirrr,Nvidia,736.95
Blueve,Microsoft,725.65
cyw233,Microsoft,722.75
kewei-arista,Arista,721.85
JibinBao,Nvidia,714.30
saksarav-nokia,Nokia,713.65
Staphylo,Arista,713.10
Yakiv-Huryk,Nvidia,711.55
DavidZagury,Nvidia,699.95
nhe-NV,Nvidia,683.05
cscarpitta,Cisco,679.05
Janetxxx,Microsoft,664.30
xq9mend,Others,640.20
anamehra,Cisco,630.00
dypet,Cisco,623.35
sreeiyer-1,Google,605.20
lerry-lee,Microsoft,596.75
weiguo-nvidia,Nvidia,592.75
arista-hpandya,Arista,592.40
mramezani95,Microsoft,580.30
kperumalbfn,Microsoft,578.90
divyachandralekha,Broadcom,578.05
liat-grozovik,Nvidia,575.80
fzhou-nokia,Nokia,564.60
byu343,Arista,560.50
siqbal1986,Microsoft,552.10
rraghav-cisco,Cisco,549.50
william8545,Nvidia,546.90
rick-arista,Arista,539.25
Ndancejic,Microsoft,524.35
vivekkarri,Others,523.90
nonodark,Others,522.05
wenyiz2021,Microsoft,520.25
xincunli-sonic,Others,506.25
neethajohn,Microsoft,498.50
jfeng-arista,Arista,488.90
rkdevi27,Dell Technologies,487.00
vaibhavhd,Microsoft,474.45
dprital,Nvidia,472.80
volodymyrsamotiy,Nvidia,468.85
jianyuewu,Nvidia,461.90
pettershao-ragilenetworks,Ragile,452.00
rameshraghupathy,Cisco,441.30
JaiOCP,Broadcom,440.70
roger-nexthop,Nexthop,433.20
ysmanman,Arista,425.90
arpit-nexthop,Nexthop,425.55
faraazbrcm,Broadcom,418.75
yuazhe,Nvidia,410.50
zhixzhu,Cisco,410.25
roy-nexthop,Nexthop,410.25
dakotac-arista,Arista,403.75
jemifdo,Others,403.40
ccroy-arista,Arista,397.95
bgallagher-nexthop,Nexthop,397.50
markx-arista,Arista,395.10
SuvarnaMeenakshi,Microsoft,394.85
kellyyeh,Microsoft,392.95
ediwibowo-msft,Others,390.90
jayaragini-hcl,Google,388.90
patilshashidhar,Cisco,385.70
benle7,Nvidia,383.60
rminnikanti,Marvell,377.90
isabelmsft,Microsoft,374.25
tirupatihemanth,Nvidia,368.35
sachinholla,Broadcom,365.05
prajjwal-arista,Arista,361.30
amitpawar12,Nokia,358.50
justin-wong-ce,Arista,357.30
wrideout-arista,Arista,353.90
manamand2020,Cisco,352.75
jaanah-hcl,Google,350.90
ayurkiv-nvda,Nvidia,350.75
kishanps,Google,350.10
jimmyzhai,Microsoft,348.40
YairRaviv,Nvidia,344.50
DannyIsa,Nvidia,342.90
jcaiMR,Microsoft,339.70
tianshangfei,Tencent,337.30
venkit-nexthop,Nexthop,332.60
niranjanivivek,Google,327.00
louis-nexthop,Nexthop,325.25
dhanasekar-arista,Arista,317.35
nnelluri-cisco,Cisco,317.15
YatishSVC,Microsoft,316.50
kevinskwang,Microsoft,316.45
julius-bcm,Broadcom,315.60
yyynini,Microsoft,313.55
yifan-nexthop,Nexthop,310.80
ashutosh-agrawal,Cisco,309.15
bradh352,Nexthop,308.10
selldinesh,Keysight,306.80
rajkumar38,Marvell,306.65
longhuan-cisco,Cisco,306.55
kannankvs,Dell Technologies,306.20
thisptr-sh,Others,303.60
Javier-Tan,Microsoft,303.40
anders-nexthop,Nexthop,301.15
micas-net,Micas,289.80
tshalvi,Nvidia,288.45
vivekverma-arista,Arista,287.50
sanjair-git,Nokia,287.20
peterbailey-arista,Arista,284.05
lunyue-ms,Others,278.70
harjotsinghpawra,Cisco,278.30
marian-pritsak,Nvidia,273.40
sschlafman,Others,271.80
erer1243,Others,271.60
domingo-nexthop,Nexthop,271.00
rohinikumart,Dell Technologies,269.00
roy-sror,Nvidia,267.15
aronovic,Cisco,266.20
croos12,Nvidia,263.60
ramakristipati,Broadcom,263.35
pnakka28,Others,262.80
linyutsung,ufispace,260.75
Ryangwaite,Microsoft,251.80
miatttao,Others,251.15
andywongarista,Arista,246.45
bobby-nexthop,Nexthop,243.35
rbpittman,Cisco,238.25
lixiaoyuner,Microsoft,237.00
lguohan,Microsoft,234.90
assrinivasan,Microsoft,234.35
zypgithub,Others,231.95
Bojun-Feng,Others,225.60
securely1g,Others,225.30
dayouliu1,Arista,222.20
rck-innovium,Marvell,220.90
patrickmacarthur,Arista,219.95
amrutasali,Dell Technologies,219.25
ansrajpu-git,Nokia,218.65
rookie-who,Others,217.20
wiperi,Others,216.40
GaladrielZhao,Alibaba,210.30
cshivashgit,Cisco,206.75
ryanzhu706,Others,205.15
rpmarvell,Marvell,205.00
mint570,Google,204.10
vikumarks,Others,203.80
AkeelAli,Cisco,201.75
abhi-nexthop,Nexthop,200.40
ashwin-h,Others,200.30
eddieruan-alibaba,Alibaba,198.95
Chandra-BS,Broadcom,198.00
aditya-nexthop,Nexthop,196.00
judsonwilson-nvidia,Nvidia,194.70
senthil-nexthop,Nexthop,192.35
SavchukRomanLv,Intel,188.10
kenneth-arista,Arista,186.90
saravanan-nexthop,Nexthop,186.85
rlhui,Microsoft,185.10
nicholasching,Cisco,184.20
aaronber0614,Others,183.90
SahilChaudhari,Others,182.15
liamkearney-msft,Microsoft,181.55
augusdn,Microsoft,177.60
antonio-nexthop,Nexthop,177.50
nissampa,Others,177.25
Verma-Anukul,Cisco,177.15
FuzailBrcm,Broadcom,174.10
anish-n,Microsoft,174.00
sudarshankumar4893,Others,173.80
az-pz,Microsoft,170.90
venu-nexthop,Nexthop,169.80
alexrallen,Nvidia,168.30
longwu-clounix,Others,167.00
aljer,Intel,166.00
RogerX87,Others,164.20
gordon-nexthop,Nexthop,162.50
netobani,Others,162.30
okaravasi,Nokia,161.90
liorghub,Nvidia,161.55
gechiang,Microsoft,160.30
davidpil2002,Nvidia,159.50
kanchanavelusamy,Google,159.00
deerao02,Microsoft,158.80
fastiuk,Nvidia,158.55
Keshavg-marvell,Others,158.15
nhegde-microsoft,Others,157.50
V2lsbGlhbVpoYW5n,Others,156.00
guangyao6,Microsoft,155.75
chinmoy-nexthop,Nexthop,154.50
rgarofano-arista,Arista,154.40
rhsmci,Others,154.05
illia-kotvitskyi,Others,152.00
github-advanced-security,Others,151.35
zhoudongxu,Others,151.30
AnantKishorSharma,Cisco,149.80
bachalla,Others,147.75
JunhongMao,Nokia,147.60
yanmo96,Microsoft,147.55
ymd-arista,Arista,147.40
matthew-soulsby,Others,147.00
nats-nokia,Nokia,145.20
mbalachandar,Broadcom,144.85
Aravind-Subbaroyan,Others,144.50
wangxinbot,Others,144.30
jostar-yang,Others,144.15
rajkumar1-arista,Arista,144.00
mukeshmv,Others,143.20
arunlk-dell,Dell Technologies,142.90
NavdhaJindal,Others,142.80
arfeigin,Nvidia,142.25
baorliu,Cisco,142.00
rawal01,Nokia,140.30
AntonHryshchuk,Nvidia,140.15
dgodwin-nokia,Nokia,139.55
Azarack,Others,139.30
AnoopKamath,Cisco,138.95
shreyansh-nexthop,Nexthop,137.40
sudharr86,Cisco,137.40
yanmarkman,Others,136.65
fountzou,Others,136.50
sakshamkhurana21,Others,136.50
nali1126,Others,133.20
abohanyang,Arista,131.50
kamalsahu0001,Others,130.00
vinay-nexthop,Nexthop,129.90
mannytaheri,Others,128.65
rhalstea,Google,127.55
a-barboza,Broadcom,126.75
AharonMalkin,Nvidia,124.55
xixuej,Nvidia,124.25
a114j0y,Alibaba,123.75
pdam-arista,Arista,123.60
caleb-nexthop,Nexthop,123.00
vperumal,Cisco,121.50
inder-nexthop,Nexthop,120.00
snider-nokia,Nokia,119.80
nobutomonakano-arista,Arista,118.75
ppikh,Nvidia,117.85
yizhenzha,Nvidia,117.60
wajahatrazi,Others,116.70
krismarvell,Marvell,115.15
dbarashinvd,Nvidia,114.35
Ghulam-Bahoo,Others,114.00
andrewsapronov,netberg,113.70
Leyza,Others,113.25
ram25794,Nvidia,113.25
RyoYang,Microsoft,113.00
vkjammala-arista,Arista,111.70
nate-nexthop,Nexthop,110.75
k-v1,Others,110.20
shanshri,pensnado,109.60
sg893052,Broadcom,109.25
lakshmi-nexthop,Nexthop,109.20
vganesan-nokia,Nokia,109.20
bktsim-arista,Arista,109.00
xinyulin,Others,108.30
jhli-cisco,Cisco,107.50
ndas7,Google,107.30
jamesan47,Cisco,107.15
sreejithsreekumaran,Cisco,106.35
skbarista,Arista,105.80
wumiaont,Nokia,105.70
donghaolicd,Others,105.00
chikkaiah-work,Others,104.40
bpar9,Cisco,103.80
prasanna228,Others,103.50
bdfriedman,Cisco,103.20
apoorv-arista,Arista,101.50
tbgowda,Cisco,101.40
ghooo,airbnb,100.40
jongorel,Others,100.30
bmridul,Cisco,100.00
Sourabh-Kumar7,Microsoft,99.00
sudheer-nexthop,Nexthop,99.00
ArunSaravananBalachandran,Dell Technologies,98.30
hehuang-nokia,Nokia,97.90
ritvikiscool9,Cisco,97.80
pkochmanska,Others,96.10
alawing,Microsoft,95.70
LinJin23,Others,95.05
v-cshekar,Others,92.30
venky-nexthop,Nexthop,92.25
rajshekhar-nexthop,Nexthop,91.20
chartsai-nvidia,Nvidia,89.70
kavyavanibedida,Others,89.00
renukamanavalan,Microsoft,88.95
skr31,Nvidia,88.50
fraserg-arista,Others,88.40
sumukhatv,Uber,87.30
ycoheNvidia,Nvidia,86.80
ytzur1,Nvidia,86.50
AndoniSanguesa,Microsoft,86.30
abhishek-nexthop,Nexthop,85.80
sm-xu,Others,85.50
zili11720,Nvidia,85.40
smagarwal-arista,Arista,84.80
mike-dubrovsky,Cisco,84.50
bendrapubalareddy,Cisco,83.70
sivat6,Others,83.40
sanmalho-git,Nokia,82.95
j-bos,Cisco,82.15
yucgu,Cisco,81.30
spandan-nexthop,Nexthop,80.50
LARLSN,Alibaba,80.25
luka-micas,Others,79.80
vpsubramaniam,Dell Technologies,79.65
abdbaig,Cisco,79.00
geans-pin,Broadcom,78.40
rlucus,Others,77.85
puffc,Others,77.25
qnos,Others,77.25
kalash-nexthop,Nexthop,76.70
sridhartalari,Cisco,76.50
ronan-nexthop,Nexthop,76.20
sudhanshukumar22,Broadcom,75.60
v-jessgeorge,Others,75.50
gshemesh2,Nvidia,75.35
dt-nexthop,Nexthop,75.25
WistronNetwork,Others,75.20
ridahanif96,Others,75.15
ravi861,Others,74.85
pinky-nexthop,Nexthop,74.65
bhaveshdell,Dell Technologies,74.60
AnandhiDhanabalan,Marvell,74.45
yenlu-keith,Cisco,74.35
dks0692,Others,74.30
bluecmd,Others,74.00
x-junyi,Others,73.40
michaelc-nexthop,Nexthop,72.50
dcaugher,Cisco,71.50
shixizhang,Microsoft,71.40
tiejunzhang-ms,Microsoft,70.90
vhlushko-cisco,Others,70.45
vrajeshe,Cisco,70.30
ravaliyel,Others,69.70
apannerselva,Marvell,69.70
asraza07,Others,69.30
chrisma113,Others,69.30
lightsyou,Others,68.40
veronica-arista,Arista,68.35
vincentpcng,Arista,68.25
Ashish1805,Google,68.00
ashwnsri,Others,68.00
AlanYoush,Centec,67.50
hsiaalexd,Others,67.50
anilal-amd,Others,66.40
alpeshspatel,Cisco,66.35
svshah-intel,Intel,66.25
msosyak,plvision,65.45
Guoyuan001,Others,65.40
gregoryboudreau,Cisco,65.30
jjin62,Others,64.55
muhammadalihussnain,Others,64.15
vamsipunati,Google,63.85
manish1-arista,Arista,63.00
bchovva,Marvell,61.80
github-actions,Others,61.50
zhiyuan0112,Microsoft,61.10
vishal-nokia,Nokia,60.75
CharudattaSChitale,Others,59.55
akokhan,plvision,58.85
davidm-arista,Arista,58.60
erohsik,Google,57.00
slutati1536,Nvidia,56.85
kbabujp,Marvell,56.50
shi-su,Microsoft,56.40
arista-setu,Arista,56.10
kanza-latif,Others,55.80
allenkting,Others,55.50
kmalek-priv,Others,55.40
Satoru-Shinohara,Others,55.30
harish-kalyanaraman,Nokia,55.00
banidoru,Others,54.60
chiourung,EdgeCore,54.15
sresri2,Others,54.00
jusherma,Cisco,53.65
nagarwal03,Others,53.60
bobbymcgonigle,Arista,53.15
atul-nexthop,Nexthop,52.80
sabakram,Others,52.80
ranjinidn,Dell Technologies,52.75
lityu,Others,52.50
nicwu-cel,Others,51.80
rajneeshaec,Marvell,51.75
mal0b3,Others,51.60
honllum,Cisco,51.50
OriTrabelsi,Nvidia,51.10
mikeberesford,Google,50.80
mhen1,Nvidia,50.40
antonptashnik,Intel,50.20
arawat-nexthop,Nexthop,50.10
santhosh-kt,Dell Technologies,50.10
lihuay,Microsoft,49.70
prasoon-nexthop,Nexthop,49.60
ustachowiak,Others,49.60
vpandian-nokia,Others,49.50
nmoray,Aviz Networks,49.35
aakashtiwari2630-max,Cisco,49.25
AndriiLozovyi,Intel,49.00
govi-nokia,Nokia,48.65
mzwang-arista,Arista,48.60
wni0812,Others,48.60
Naveen-Rampuram,Marvell,48.60
rimunagala,Microsoft,48.30
yanjundeng,Cisco,48.05
shbalaku-microsoft,Others,47.95
mmysle,Others,47.80
sundar-pds,Others,47.50
purush-nexthop,Nexthop,47.40
mgheorghe,Keysight,47.10
MariuszStachura,Others,46.80
Praveen-Brcm,Broadcom,46.15
devpatha,Cisco,46.00
huseratgithub,Others,45.95
jiahua-wang,Broadcom,45.45
anilkpan,Broadcom,45.40
rushanmu-cisco,Cisco,45.30
ypcisco,Cisco,45.30
ishidawataru,ntt,45.20
DavidHuang666,Eoptera,45.00
justin-oliver,Arista,45.00
renjithkumarnair,Others,45.00
Kalimuthu-Velappan,Broadcom,44.60
cytsai0409,ufispace,44.55
guillaumelambert,Orange,44.25
ntt-omw,Others,44.00
kalyanpullela,Others,43.50
adyeung,Broadcom,43.30
geogchen,Microsoft,42.80
abelamit,Nvidia,42.80
rajann,Cisco,42.80
rajendrat,Cisco,42.75
sambenko,Others,42.60
taran9999,Cisco,42.60
mholankar,Google,42.55
nsoma26,Others,42.30
EdenGri,Nvidia,42.25
MadhukiranAS,Others,42.00
jon-nokia,Nokia,41.35
jsanghra,Cisco,41.30
selva-nexthop,Nexthop,41.30
dlakshminarayana,Broadcom,41.20
pragnya-arista,Arista,41.00
ds952811,Broadcom,40.80
spilkey-cisco,Cisco,40.65
bhagatgit,Google,40.60
shwnaik,Others,40.50
bratashX,Cisco,40.30
wilson-smci,Others,39.90
pbrisset,Cisco,39.80
shdasari,Broadcom,39.75
ashishalok-arista,Arista,39.60
prafull-brcm,Others,39.50
sujinmkang,Microsoft,39.10
cpackham-atlnz,Others,39.05
yifei-micas,Micas,39.00
paulmenzel,Max-Planck-Institut,38.90
Gnanapriya27,Others,38.60
sdasgupta-marvell,Marvell,38.50
sonikajindal,Google,38.40
gitsabari,Broadcom,38.10
AkhileshSamineni,Broadcom,38.00
mdanish-kh,xFlow Research,37.90
wren-nexthop,Others,37.80
yozhao101,Microsoft,37.70
vikshaw-Nokia,Nokia,37.65
aputriax,Intel,37.60
ppanara-marvell,Marvell,37.50
shlomibitton,Nvidia,37.40
tahmed-dev,Microsoft,37.05
eladnachman,Marvell,37.00
mlorrillere,Arista,37.00
shuaishang,Alibaba,36.55
AntheaJiang,Others,36.40
dmytroxIntel,Others,36.00
omaaartamer,Others,36.00
yurypm,Arista,36.00
SviatoslavBoichuk,Nvidia,35.50
superchild,EdgeCore,35.50
baxia-lan,Google,35.45
tudupa,Nokia,35.35
Gokulnath-Raja,Others,35.10
mohan-selvaraj,Broadcom,34.80
SoumyaMishra18,Others,34.75
KrisNey-MSFT,Microsoft,34.70
donNewtonIntel,Others,34.60
OleksandrKozodoi,Intel,34.50
pullaraogunda,Others,34.50
aaronpayment,Arista,34.45
venkatmahalingam,Dell Technologies,34.25
DanielaMurin,Marvell,34.20
matiAlfaro,Marvell,33.80
mdhoff-ms,Others,33.30
guoguojia2021,Alibaba,32.25
50n1c-rnsft,Others,32.10
nadershinouda,Others,32.00
prathyushabathula,Others,32.00
gupurush,Cisco,31.85
AbdulRouff-Nvidia,Others,31.80
i-davydenko,Nvidia,31.50
vikram-nexthop,Nexthop,31.50
make1980,Microsoft,30.65
DendroLabs,Others,30.30
Shankam2,Others,30.00
abhra1996,Others,30.00
app/copilot-swe-agent,Others,30.00
brcarr-nv,Nvidia,30.00
ctikku-nexthop,Nexthop,30.00
haojun291,Micas,30.00
jithenderkondam,Marvell,30.00
maheeppartap-nexthop,Nexthop,30.00
maunnikr-cisco,Cisco,30.00
nanali-msft,Others,30.00
liang-nexthop,Nexthop,29.70
taras-keryk,Others,29.60
jamessewart-arista,Arista,29.50
raghav-nexthop,Nexthop,29.25
ihorchekh,Nvidia,29.05
MuhammadUmarAsad,Others,28.80
qicen,Others,28.50
sarabjeetsingh1509,Marvell,28.50
yaopingzhu-arista,Others,28.20
SelvaSupermicro,Others,27.90
svelamal,Cisco,27.70
sigabrtv1-ui,Others,27.60
vitor-arista,Others,27.60
simonchen1109,Others,27.30
jeffhtgt,Others,27.20
royyi8,Google,27.20
zzhiyuan,Arista,27.20
smaheshm,Microsoft,27.10
radha-danda,Marvell,27.05
Muckthebuck,Others,27.00
frank-nexthop,Nexthop,27.00
hussamsh,Others,27.00
ShaofengWu123,Others,26.80
darius-nexthop,Nexthop,26.40
seveerap79,Others,26.25
Natgerbi,Nvidia,25.50
qinchuanares,Microsoft,25.10
GauravNagesh,Others,25.00
isiddeeq-cisco,Cisco,25.00
meghtony,Others,25.00
mmiele,Microsoft,25.00
msomasundaran,fungible inc,24.65
sathk-marvell,Marvell,24.50
zhangyanzhao,Microsoft,24.45
rameshms-work,Others,24.45
VladimirKuk,Marvell,24.40
ShauliTaragin,Nvidia,24.30
mmiklus,Others,24.30
iavraham,Others,24.30
ahsalam,Others,24.15
suwinkumar-arista,Arista,24.10
Arham-Nasir,Others,24.00
Pruthvi-Gowni,Others,24.00
SvyatDemn,Others,24.00
rnikan,Others,24.00
amulyan7,Cisco,23.85
vbodagal,Others,23.60
Akshath-17,Cisco,23.50
roberthong-qct,Others,23.45
qiwang4,Cisco,23.30
jerseyang,Others,23.20
marvellparthiv,Marvell,23.00
vivekmoorthy,Google,23.00
agadia-cisco,Cisco,22.90
dkadia-marvell,Marvell,22.50
iamjustadd,Others,22.50
james-jra,Others,22.50
mmananja,Cisco,22.50
rdsugarmannv,Others,22.50
NanQiSweeper,Alibaba,22.35
wenjwang-nv,Others,22.20
twowen,Others,21.65
eyakubch,Cisco,21.60
cqjjjzr,Others,21.50
saadfsl,Others,21.20
tonytitus,Others,21.20
vmorokhx,Intel,21.10
amnsinghal,Cisco,21.00
packiasundar,Marvell,21.00
prashanth-nexthop,Nexthop,21.00
sireesha-arista,Others,21.00
ayelrod,Google,20.75
kwangsuk,Dell Technologies,20.60
nsdesai123,Others,20.60
eswaran-nexthop,Nexthop,20.55
prhoskot,Cisco,20.55
RishiRewadkarCisco,Cisco,20.50
baiwei0427,Microsoft,20.40
aeedara-nokia,Nokia,20.00
FSSec,Others,19.80
bocon13,Google,19.25
tomer-israel,Nvidia,19.20
rajendra-dendukuri,Broadcom,19.10
StephenWangGoogle,Google,19.10
kkosciuszkiewicz-arista,Arista,19.00
pdhruv-marvell,Marvell,19.00
sonicly1g,Others,18.90
VenkatCisco,Cisco,18.65
arvbb,Others,18.60
madhava28,Others,18.60
praveen-li,Linkedin,18.40
janpal23,Others,18.30
Chiranjeevi-U-ML,Others,18.00
abdusyedwork,Others,18.00
arunp-dev,Others,18.00
cgangx,Microsoft,18.00
cpetrus-marvell,Marvell,18.00
gs1571,Others,18.00
rejithomas-arista,Others,18.00
sumati3031-arista,Others,18.00
wadoodkhan,Marvell,18.00
zechengh09,Others,18.00
hasan-brcm,Broadcom,17.80
Sutter-Pinewave,Others,17.70
sivanuka,Others,17.50
fzjalfred,Others,17.40
msftdaniellin,Others,17.25
srj102,Broadcom,17.20
preetham-singh,Broadcom,17.10
clarklee-guizhao,Alibaba,17.10
komal-marvell,Marvell,17.00
madhupalu,Aviz Networks,16.85
harsgoll,Cisco,16.80
chrispsommers,Keysight,16.75
mbze430,Others,16.70
kv-y,Others,16.55
Mohammedz93,Nvidia,16.50
anshuldubela,Cisco,16.50
link19430,EdgeCore,16.50
jaganbal-a,Cisco,16.40
patiladarsh99,Marvell,16.40
madbabu-cisco,Others,16.25
lmingz,Microsoft,16.20
mkim-upscaleai,UpscaleAI,16.20
sallylsy,Google,16.15
Yogapriya-cisco,Cisco,16.00
globaltrouble,Others,16.00
rraguraj,Cisco,16.00
Yarden-Z,Nvidia,15.95
vcheketx,Intel,15.90
SijiJ,Juniper,15.30
indrashis-nexthop,Nexthop,15.30
avinashkrcode,Others,15.30
juntaog,Others,15.30
xiongxuecheng,Others,15.30
gregshpit,Others,15.20
Balakrishna-goshika,Others,15.00
Garima6688,Others,15.00
abdosi-agentic,Others,15.00
blorente,Google,15.00
etrykoz-nvda,Others,15.00
kerry-meyer,Dell Technologies,15.00
krishnagorrepati,Cisco,15.00
running-h,Others,15.00
sneelam20,Google,14.55
raphaelt-nvidia,Nvidia,14.50
linqingxuan,Others,14.40
zhixiongniu,Others,14.40
kishorekunal01,Broadcom,14.35
UmaMaven,Others,14.30
amazor,Marvell,14.20
PJHsieh,EdgeCore,14.00
abanu-ms,Others,14.00
oplklum,Others,14.00
shiraez,Marvell,14.00
tiejunzhang,Microsoft,14.00
pollyhsu2git,EdgeCore,13.80
jkmar,Others,13.75
santoss3,Cisco,13.75
justindthomas,Others,13.65
aparnapattekar-gh,Others,13.50
ssithaia-ebay,Others,13.50
bofish-arista,Arista,13.20
conradf-arista,Arista,13.20
mobinmohan,Others,13.20
roeebar-arista,Arista,13.20
Pan-XT,Alibaba,13.00
daxia16,Nvidia,13.00
inspurSDN,Others,13.00
juntseng62,Others,13.00
manoharan-nexthop,Nexthop,13.00
Hedgehog-Guru,Nvidia,12.75
shyam77git,Cisco,12.65
skeesara-nokia,Nokia,12.60
sonumm,Others,12.60
zedzean,Others,12.60
mthatty,Others,12.50
raaghavendrakra-arista,Arista,12.50
alvinkaiwei,Others,12.40
slicking,Google,12.40
bacrossland,Others,12.10
MohamedWaleedAbdelNasser,Others,12.00
MoriLevinzon,Others,12.00
centecqianj,Others,12.00
drozenblum,Nvidia,12.00
edward-nexthop,Nexthop,12.00
elybarneams,Others,12.00
fkong-cisco,Others,12.00
gauravnagesh-msft,Others,12.00
knucklesal,Others,12.00
nipunjoy,Marvell,12.00
snanajka,Cisco,12.00
uramanath,UpscaleAI,12.00
samitabh,Broadcom,11.50
oleksandrx-kolomeiets,Intel,11.30
wdoekes,Others,11.20
harshitgulati18,Others,11.15
pushpraj,Others,11.05
MaksymPry,Others,11.00
andriydnvd,Nvidia,11.00
deran1980,Nvidia,11.00
dmukun,Others,11.00
nathcohe,Cisco,11.00
orenreiss,Nvidia,11.00
ravil-nexthop,Nexthop,11.00
sumanbrcm,Broadcom,11.00
sacnaik,Cisco,10.85
azmyali98,Nvidia,10.80
gollarharsha,Others,10.80
anand-kumar-subramanian,Broadcom,10.65
guxianghong,Centec,10.55
donggyu-nexthop,Nexthop,10.50
infn-ke,Others,10.50
kartik-arista,Arista,10.45
akarshgupta25,Google,10.40
clounix-sw,Others,10.25
siva-prasad-cisco,Cisco,10.25
vboykox,Others,10.20
nyanto,Others,10.15
utpalkantpintoo,Broadcom,10.15
LuiSzee,Centec,10.10
KostiantynYarovyiBf,Others,10.00
azmy98,Others,10.00
collivier,Orange,10.00
gvlaemyn,Cisco,10.00
kprasanth-marvell,Marvell,10.00
michelle-nexthop,Nexthop,10.00
prasunsinha1,Google,10.00
suresh-rupanagudi,Broadcom,10.00
tphung3,Others,10.00
xuehua4488,Others,10.00
lukasstockner,GenesisCloud,9.95
eddyk-nvidia,Nvidia,9.85
andriy-kokhan,plvision,9.70
yxieca-admin,Others,9.60
asha-behera,Broadcom,9.50
yunang-c,Others,9.40
aruna98765,Cisco,9.30
vidhya-rajan,Others,9.25
yuezhoujk,Alibaba,9.25
yanaport,Others,9.20
nikunjdh,Others,9.15
AKosturArista,Arista,9.00
Anirudh-nokia,Others,9.00
MichaelWangSmci,Others,9.00
Sumalatha-G-ML,Others,9.00
dflynn-Nokia,Nokia,9.00
dlanov,Others,9.00
dragonforeverliu,Others,9.00
gopi-arista,Others,9.00
mathieulaunay,Others,9.00
rjojupom-cisco,Cisco,9.00
rupesh-k,Broadcom,9.00
shiviprakash,Others,9.00
skumar041,Marvell,9.00
michaelli10,Broadcom,8.80
Doxakis1,Nokia,8.50
shanmukhakambala,Others,8.50
gord1306,EdgeCore,8.40
ham-xa,xFlow Research,8.25
wenchungw,Others,8.25
tcusto,Others,8.20
ec-michael-shih,EdgeCore,8.15
narasim-microsoft,Others,8.10
nimicho,Nokia,8.10
CliveNi,cloudlight,8.00
ErichYen,Others,8.00
Liran-Ar,Others,8.00
VadymYashchenko,Intel,8.00
Yubin-Li,Alibaba,8.00
balram-csco,Others,8.00
